Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
Xpander Cross,Mitsubishi,1500,2021-05-01,100,1705
Xpander Cross,Mitsubishi,1500,2021-06-01,100,791
Xpander Cross,Mitsubishi,1500,2021-07-01,100,3832
Xpander Cross,Mitsubishi,1500,2021-08-01,100,2590
Xpander Cross,Mitsubishi,1500,2021-09-01,100,1414
Xpander Cross,Mitsubishi,1500,2021-10-01,100,2861
Xpander Cross,Mitsubishi,1500,2021-11-01,100,917
Xpander Cross,Mitsubishi,1500,2021-12-01,100,3793
Xpander Cross,Mitsubishi,1500,2022-01-01,0,2869
Xpander Cross,Mitsubishi,1500,2022-02-01,0,1034
Livina,Nissan,1500,2020-01-01,0,406
Livina,Nissan,1500,2020-02-01,0,523
Livina,Nissan,1500,2020-03-01,0,259
Livina,Nissan,1500,2020-04-01,0,8
Livina,Nissan,1500,2020-05-01,0,6
Livina,Nissan,1500,2020-06-01,0,51
Livina,Nissan,1500,2020-07-01,0,114
Livina,Nissan,1500,2020-08-01,0,6338
Livina,Nissan,1500,2020-09-01,0,1377
Livina,Nissan,1500,2020-10-01,0,0
Livina,Nissan,1500,2020-11-01,0,0
Livina,Nissan,1500,2020-12-01,0,0
Livina,Nissan,1500,2021-01-01,0,0
Livina,Nissan,1500,2021-02-01,0,0
Livina,Nissan,1500,2021-03-01,100,0
Livina,Nissan,1500,2021-04-01,100,0
Livina,Nissan,1500,2021-05-01,100,43
Livina,Nissan,1500,2021-06-01,100,218
Livina,Nissan,1500,2021-07-01,100,241
Livina,Nissan,1500,2021-08-01,100,275
Livina,Nissan,1500,2021-09-01,100,371
Livina,Nissan,1500,2021-10-01,100,405
Livina,Nissan,1500,2021-11-01,100,246
Livina,Nissan,1500,2021-12-01,100,217
Livina,Nissan,1500,2022-01-01,0,222
Livina,Nissan,1500,2022-02-01,0,191
Ertiga,Suzuki,1500,2020-01-01,0,2853
Ertiga,Suzuki,1500,2020-02-01,0,946
Ertiga,Suzuki,1500,2020-03-01,0,160
Ertiga,Suzuki,1500,2020-04-01,0,38
Ertiga,Suzuki,1500,2020-05-01,0,79
Ertiga,Suzuki,1500,2020-06-01,0,119
Ertiga,Suzuki,1500,2020-07-01,0,383
Ertiga,Suzuki,1500,2020-08-01,0,322
Ertiga,Suzuki,1500,2020-09-01,0,346
